Date_heure,T (�C),H (%),PR(%),P(watts),TDS (mg/l),PH,PGF (bars),VFE,
2024-01-01 00:52:00,8.66,16.35,34.33,113,98.36,7.45,1.078,0,
2024-01-01 00:54:00,8.65,16.40,34.32,189,174.43,7.45,1.081,0,
2024-01-01 00:56:00,8.64,16.46,34.32,110,95.50,7.45,1.084,0,
2024-01-01 00:58:00,8.62,16.51,34.31,114,99.57,7.88,1.087,0,
2024-01-01 01:00:00,8.50,17.00,34.25,118,104.25,7.48,1.09,0,
2024-01-01 01:02:00,8.35,17.60,34.18,122,109.08,7.08,1.093,0,
2024-01-01 01:04:00,8.20,18.20,34.10,126,113.90,7.41,1.096,0,
2024-01-01 01:06:00,8.05,18.80,34.03,46,34.73,7.74,1.099,0,
2024-01-01 01:08:00,7.90,19.40,33.95,194,183.55,7.26,1.102,0,
2024-01-01 01:10:00,7.75,20.00,33.88,196,186.38,7.40,1.105,0,
2024-01-01 01:12:00,7.60,20.60,33.80,111,102.20,7.53,1.108,0,
2024-01-01 01:14:00,7.45,21.20,33.73,187,179.03,7.67,1.111,0,
2024-01-01 01:16:00,7.30,21.80,33.65,108,100.85,7.81,1.114,0,
2024-01-01 01:18:00,7.15,22.40,33.58,112,105.68,7.95,1.117,0,
2024-01-01 01:20:00,7.00,23.00,33.50,116,110.50,7.45,1.12,0,
2024-01-01 01:22:00,6.85,23.60,33.43,120,115.33,7.45,1.123,0,
2024-01-01 01:24:00,6.70,24.20,33.35,124,120.15,7.45,1.126,0,
2024-01-01 01:26:00,6.55,24.80,33.28,44,40.98,7.45,1.129,0,
2024-01-01 01:28:00,6.40,25.40,33.20,192,189.80,7.45,1.132,0,
2024-01-01 01:30:00,6.25,26.00,33.13,194,192.63,7.45,1.135,0,
2024-01-01 01:32:00,6.10,26.60,33.05,109,108.45,7.45,1.138,0,
2024-01-01 01:34:00,5.95,27.20,32.98,185,185.28,7.45,1.141,0,
2024-01-01 01:36:00,5.80,27.80,32.90,106,107.10,7.45,1.144,0,
2024-01-01 01:38:00,5.65,28.40,32.83,110,111.93,7.45,1.147,0,
2024-01-01 01:40:00,5.50,29.00,32.75,114,116.75,7.45,1.15,0,
2024-01-01 01:42:00,5.35,29.60,32.68,118,121.58,7.45,1.153,0,
2024-01-01 01:44:00,5.20,30.20,32.60,122,126.40,7.45,1.156,0,
2024-01-01 01:46:00,5.05,30.80,32.53,42,47.23,7.45,1.159,0,
2024-01-01 01:48:00,4.90,31.40,32.45,190,196.05,7.45,1.162,0,
2024-01-01 01:50:00,4.75,32.00,32.38,192,198.88,7.45,1.165,0,
2024-01-01 01:52:00,4.60,32.60,32.30,107,114.70,7.45,1.168,0,
2024-01-01 01:54:00,4.45,33.20,32.23,183,191.53,7.45,1.171,0,
2024-01-01 01:56:00,4.30,33.80,32.15,104,113.35,7.45,1.174,0,
2024-01-01 01:58:00,4.15,34.40,32.08,108,118.18,7.45,1.177,0,
2024-01-01 02:00:00,4.60,32.60,32.30,112,119.70,7.45,1.18,0,
2024-01-01 02:02:00,4.80,31.80,32.40,116,122.60,7.45,1.183,0,
2024-01-01 02:04:00,4.85,31.60,32.43,120,126.33,7.45,1.186,0,
2024-01-01 02:06:00,4.90,31.40,32.45,40,46.05,7.45,1.189,0,
2024-01-01 02:08:00,4.95,31.20,32.48,188,193.78,7.45,1.192,0,
2024-01-01 02:10:00,5.00,31.00,32.50,190,195.50,7.45,1.195,0,
2024-01-01 02:12:00,5.05,30.80,32.53,105,110.23,7.45,1.198,0,
2024-01-01 02:14:00,5.10,30.60,32.55,181,185.95,7.45,1.201,0,
2024-01-01 02:16:00,5.15,30.40,32.58,102,106.68,7.45,1.204,0,
2024-01-01 02:18:00,5.20,30.20,32.60,106,110.40,7.45,1.207,0,
2024-01-01 02:20:00,5.25,30.00,32.63,110,114.13,7.45,1.21,0,
2024-01-01 02:22:00,5.30,29.80,32.65,114,117.85,7.45,1.213,0,
2024-01-01 02:24:00,5.35,29.60,32.68,118,121.58,7.45,1.216,0,
2024-01-01 02:26:00,5.40,29.40,32.70,38,41.30,7.45,1.0675,0,
2024-01-01 02:28:00,5.45,29.20,32.73,186,189.03,7.45,1.0705,0,
2024-01-01 02:30:00,5.50,29.00,32.75,188,190.75,7.45,1.0735,0,
2024-01-01 02:32:00,5.55,28.80,32.78,103,105.48,7.45,1.0765,0,
2024-01-01 02:34:00,5.60,28.60,32.80,179,181.20,7.45,1.0795,0,
2024-01-01 02:36:00,5.65,28.40,32.83,100,101.93,7.45,1.0825,0,
2024-01-01 02:38:00,5.70,28.20,32.85,104,105.65,7.45,1.0855,0,
2024-01-01 02:40:00,5.75,28.00,32.88,108,109.38,7.45,1.0885,0,
2024-01-01 02:42:00,5.80,27.80,32.90,112,113.10,7.45,1.0915,0,
2024-01-01 02:44:00,5.85,27.60,32.93,116,116.83,7.45,1.056625,0,
2024-01-01 02:46:00,5.90,27.40,32.95,36,36.55,7.45,1.059625,0,
2024-01-01 02:48:00,5.95,27.20,32.98,184,184.28,7.45,1.062625,0,
2024-01-01 02:50:00,6.00,27.00,33.00,186,186.00,7.45,1.065625,0,
2024-01-01 02:52:00,6.05,26.80,33.03,101,100.73,7.45,1.068625,0,
2024-01-01 02:54:00,6.10,26.60,33.05,177,176.45,7.45,1.071625,0,
2024-01-01 02:56:00,6.15,26.40,33.08,98,97.18,7.45,1.074625,0,
2024-01-01 02:58:00,6.20,26.20,33.10,102,100.90,7.45,1.077625,0,
2024-01-01 03:00:00,6.25,26.00,33.13,106,104.63,7.45,1.080625,0,
2024-01-01 03:02:00,6.25,26.01,33.12,110,108.64,7.45,1.07415625,0,
2024-01-01 03:04:00,6.25,26.02,33.12,114,112.65,7.45,1.07715625,0,
2024-01-01 03:06:00,6.24,26.02,15.00,34,50.78,5.76,1.08015625,0,
2024-01-01 03:08:00,6.24,26.03,19.00,182,194.79,6.42,1.08315625,0,
2024-01-01 03:10:00,6.24,26.04,20.00,184,195.80,6.59,1.08615625,0,
2024-01-01 03:12:00,6.24,26.05,33.12,99,97.69,7.45,1.08915625,0,
2024-01-01 03:14:00,6.24,26.06,33.12,175,173.70,7.45,1.09215625,0,
2024-01-01 03:16:00,6.23,26.06,33.12,96,94.71,7.45,1.09515625,0,
2024-01-01 03:18:00,6.23,26.07,33.12,100,98.72,7.45,1.09815625,0,
2024-01-01 03:20:00,6.23,26.08,33.12,104,102.74,7.45,1.098789063,0,
2024-01-01 03:22:00,6.23,26.09,33.11,108,106.75,7.45,1.101789063,0,
2024-01-01 03:24:00,6.23,26.10,33.11,112,110.76,7.45,1.104789063,0,
2024-01-01 03:26:00,6.22,26.10,11.00,32,52.88,5.11,1.107789063,0,
2024-01-01 03:28:00,6.22,26.11,11.00,180,200.89,5.11,1.110789063,0,
2024-01-01 03:30:00,6.22,26.12,11.00,182,202.90,5.11,1.113789063,0,
2024-01-01 03:32:00,6.22,26.13,18.00,97,110.91,6.28,1.116789063,0,
2024-01-01 03:34:00,6.22,26.14,22.00,173,182.92,6.95,1.119789063,0,
2024-01-01 03:36:00,6.21,26.14,33.11,94,92.82,7.45,1.122789063,0,
2024-01-01 03:38:00,6.21,26.15,33.11,98,96.83,7.45,1.125197266,0,
2024-01-01 03:40:00,6.21,26.16,33.11,102,100.85,7.45,1.128197266,0,
2024-01-01 03:42:00,6.21,26.17,33.10,106,104.86,7.45,1.131197266,0,
2024-01-01 03:44:00,6.21,26.18,33.10,110,108.87,7.45,1.134197266,0,
2024-01-01 03:46:00,6.20,26.18,33.10,30,28.88,7.45,1.137197266,0,
2024-01-01 03:48:00,6.20,26.19,33.10,178,176.89,7.45,1.140197266,0,
2024-01-01 03:50:00,6.20,26.20,33.10,180,178.90,7.45,1.143197266,0,
2024-01-01 03:52:00,6.20,26.21,33.10,95,93.91,7.45,1.146197266,0,
2024-01-01 03:54:00,6.20,26.22,33.10,171,169.92,7.45,1.149197266,0,
2024-01-01 03:56:00,6.19,26.22,33.10,92,90.93,7.45,1.152049316,0,
2024-01-01 03:58:00,6.19,26.23,33.10,96,94.94,7.45,1.155049316,0,
2024-01-01 04:00:00,6.19,26.24,33.10,100,98.95,7.45,1.158049316,0,
2024-01-01 04:02:00,6.19,26.25,33.09,104,102.97,7.45,1.161049316,0,
2024-01-01 04:04:00,6.19,26.26,33.09,108,106.98,7.45,1.164049316,0,
2024-01-01 04:06:00,6.18,26.26,33.09,28,26.99,7.45,1.167049316,0,
2024-01-01 04:08:00,6.18,26.27,33.09,176,175.00,7.45,1.170049316,0,
2024-01-01 04:10:00,6.18,26.28,33.09,178,177.01,7.45,1.173049316,0,
2024-01-01 04:12:00,6.18,26.29,33.09,93,92.02,7.45,1.176049316,0,
2024-01-01 04:14:00,6.18,26.30,33.09,169,168.03,7.45,1.179012329,0,
2024-01-01 04:16:00,6.17,26.30,33.09,90,89.04,7.45,1.182012329,0,
2024-01-01 04:18:00,6.17,26.31,33.09,94,93.05,7.45,1.147137329,0,
2024-01-01 04:20:00,6.17,26.32,33.09,98,97.06,7.45,1.150137329,0,
2024-01-01 04:22:00,6.17,26.33,33.08,102,101.08,7.45,1.153137329,0,
2024-01-01 04:24:00,6.17,26.34,33.08,106,105.09,7.45,1.156137329,0,
2024-01-01 04:26:00,6.16,26.34,33.08,223,222.10,7.45,1.159137329,0,
2024-01-01 04:28:00,6.16,26.35,33.08,195,194.11,7.45,1.162137329,0,
2024-01-01 04:30:00,6.16,26.36,33.08,197.8,196.92,7.45,1.165137329,0,
2024-01-01 04:32:00,6.16,26.37,33.08,202.56,201.69,7.45,1.168128082,0,
2024-01-01 04:34:00,6.16,26.38,33.08,197.512,196.65,7.45,1.171128082,0,
2024-01-01 04:36:00,6.15,26.38,33.08,203.3024,202.46,7.45,1.155190582,0,
2024-01-01 04:38:00,6.15,26.39,33.08,162.06048,161.22,7.45,1.120315582,0,
2024-01-01 04:40:00,6.15,26.40,33.08,208.212096,207.39,7.45,1.123315582,0,
2024-01-01 04:42:00,6.15,26.41,33.07,221.4424192,220.63,7.45,1.126315582,0,
2024-01-01 04:44:00,6.15,26.42,33.07,186.0884838,185.29,7.45,1.129315582,0,
2024-01-01 04:46:00,6.14,26.42,33.07,205.6176968,204.83,7.45,1.132315582,0,
2024-01-01 04:48:00,6.14,26.43,33.07,129.5235394,128.74,7.45,1.097440582,0,
2024-01-01 04:50:00,6.14,26.44,33.07,99.30470787,98.53,7.45,1.100438271,0,
2024-01-01 04:52:00,6.14,26.45,33.07,165.0609416,164.30,7.45,1.103438271,0,
2024-01-01 04:54:00,6.14,26.46,33.07,159.8121883,159.06,7.45,1.099336708,0,
2024-01-01 04:56:00,6.13,26.46,33.07,151.1624377,150.43,7.45,1.083399208,0,
2024-01-01 04:58:00,6.13,26.47,33.07,123.8324875,123.11,7.45,1.086399208,0,
2024-01-01 05:00:00,7.11,22.55,33.56,180.7664975,174.65,7.98,1.089399208,0,
2024-01-01 05:02:00,7.14,22.43,33.57,186.7532995,180.47,7.95,1.092399208,0,
2024-01-01 05:04:00,7.17,22.31,33.59,142.5506599,136.10,7.93,1.095399208,0,
2024-01-01 05:06:00,7.20,22.19,33.60,186.710132,180.10,7.90,1.079461708,0,
2024-01-01 05:08:00,7.23,22.07,33.62,159.7420264,152.96,7.87,1.08246113,0,
2024-01-01 05:10:00,7.26,21.95,33.63,141.9484053,135.00,7.84,1.08546113,0,
2024-01-01 05:12:00,7.29,21.83,33.65,151.1896811,144.08,7.82,1.086093943,0,
2024-01-01 05:14:00,7.32,21.71,33.66,135.0379362,127.76,7.79,1.08199238,0,
2024-01-01 05:16:00,7.35,21.59,33.68,134.6075872,127.17,7.76,1.08499238,0,
2024-01-01 05:18:00,7.38,21.47,33.69,86.32151745,78.72,7.73,1.08799238,0,
2024-01-01 05:20:00,7.41,21.35,33.71,151.8643035,144.10,7.71,1.09099238,0,
2024-01-01 05:22:00,7.44,21.23,33.72,150.7728607,142.84,7.68,1.09399238,0,
2024-01-01 05:24:00,7.47,21.11,33.74,101.3545721,93.26,7.65,1.089890818,0,
2024-01-01 05:26:00,7.50,20.99,33.75,152.2709144,144.01,7.62,1.092890673,0,
2024-01-01 05:28:00,7.53,20.87,33.77,132.0541829,123.63,7.60,1.095890673,0,
2024-01-01 05:30:00,7.56,20.75,33.78,113.4108366,104.82,7.57,1.098150927,0,
2024-01-01 05:32:00,7.59,20.63,33.80,110.4821673,101.72,7.54,1.09878374,0,
2024-01-01 05:34:00,7.62,20.51,33.81,125.2964335,116.37,7.51,1.10178374,0,
2024-01-01 05:36:00,7.65,20.39,33.83,131.0592867,121.97,7.49,1.10478374,0,
2024-01-01 05:38:00,7.68,20.27,33.84,84.01185734,74.76,7.46,1.10778374,0,
2024-01-01 05:40:00,7.71,20.15,33.86,149.8023715,140.38,7.43,1.11078374,0,
2024-01-01 05:42:00,7.74,20.03,33.87,148.7604743,139.18,7.40,1.111416552,0,
2024-01-01 05:44:00,7.77,19.91,33.89,99.35209486,89.60,7.38,1.114416516,0,
2024-01-01 05:46:00,7.80,19.79,33.90,150.270419,140.36,7.35,1.117416516,0,
2024-01-01 05:48:00,7.83,19.67,33.92,130.0540838,119.98,7.32,1.120194592,0,
2024-01-01 05:50:00,7.86,19.55,33.93,111.4108168,101.17,7.29,1.122454846,0,
2024-01-01 05:52:00,7.89,19.43,33.95,108.4821634,98.07,7.27,1.125454846,0,
2024-01-01 05:54:00,7.92,19.31,33.96,123.2964327,112.72,7.24,1.128454846,0,
2024-01-01 05:56:00,7.95,19.19,33.98,129.0592865,118.32,7.21,1.131454846,0,
2024-01-01 05:58:00,7.98,19.07,33.99,121.4118573,110.51,7.18,1.134454846,0,
2024-01-01 06:00:00,8.17,18.31,34.09,159.8823715,147.94,7.01,1.1367151,0,
2024-01-01 06:02:00,8.21,18.15,34.11,153.5364743,141.37,6.97,1.139715091,0,
2024-01-01 06:04:00,8.25,17.99,34.13,121.0192949,108.63,6.94,1.142715091,0,
2024-01-01 06:06:00,8.29,17.83,34.15,159.106259,146.50,6.90,1.145650363,0,
2024-01-01 06:08:00,8.33,17.67,34.17,153.2817318,140.46,6.86,1.148428439,0,
2024-01-01 06:10:00,8.37,17.51,34.19,128.4684424,115.42,6.83,1.141959689,0,
2024-01-01 06:12:00,8.41,17.35,34.21,132.7361077,119.47,6.79,1.144959689,0,
2024-01-01 06:14:00,8.45,17.19,34.23,150.8357054,137.35,6.75,1.147959689,0,
2024-01-01 06:16:00,8.49,17.03,34.25,149.3848378,135.68,6.72,1.150959689,0,
2024-01-01 06:18:00,8.53,16.87,34.27,120.8005069,106.87,6.68,1.153737765,0,
2024-01-01 06:20:00,8.57,16.71,34.29,145.4648093,131.32,6.64,1.156737763,0,
2024-01-01 06:22:00,8.61,16.55,34.31,129.7539034,115.39,6.61,1.159737763,0,
2024-01-01 06:24:00,8.65,16.39,34.33,107.562969,92.98,6.57,1.16271927,0,
2024-01-01 06:26:00,8.69,16.23,34.35,147.6750315,132.87,6.53,1.165654542,0,
2024-01-01 06:28:00,8.73,16.07,34.37,139.3674938,124.34,6.50,1.161552979,0,
2024-01-01 06:30:00,8.77,15.91,34.39,116.8399963,101.59,7.45,1.145615479,0,
2024-01-01 06:32:00,8.81,15.75,34.41,123.7212988,108.25,7.45,1.148615479,0,
2024-01-01 06:34:00,8.85,15.59,34.43,140.8949197,125.21,7.45,1.151615479,0,
2024-01-01 06:36:00,8.89,15.43,34.45,137.4891159,121.58,7.45,1.154550751,0,
2024-01-01 06:38:00,8.93,15.27,34.47,113.4398496,97.31,7.45,1.157550751,0,
2024-01-01 06:40:00,8.97,15.11,34.49,148.8363752,132.49,7.45,1.141613251,0,
2024-01-01 06:42:00,9.01,14.95,34.51,137.7569561,121.19,7.45,1.14460805,0,
2024-01-01 06:44:00,9.05,14.79,34.53,105.1893274,88.40,7.45,1.147589556,0,
2024-01-01 06:46:00,9.09,14.63,34.55,141.0454527,124.04,7.45,1.147038775,0,
2024-01-01 06:48:00,9.13,14.47,34.57,133.530608,116.30,7.45,1.13583565,0,
2024-01-01 06:50:00,9.17,14.31,34.59,106.9704251,89.52,7.45,1.1293669,0,
2024-01-01 06:52:00,9.21,14.15,34.61,114.7669457,97.10,7.45,1.1323669,0,
2024-01-01 06:54:00,9.25,13.99,34.63,130.7079613,112.82,7.45,1.135348406,0,
2024-01-01 06:56:00,9.29,13.83,34.65,126.0125067,107.91,7.98,1.138348406,0,
2024-01-01 06:58:00,9.33,13.67,34.67,103.0566842,84.73,7.95,1.127145281,0,
2024-01-01 07:00:00,9.37,13.51,34.69,140.0221734,121.48,7.91,1.111206336,0,
2024-01-01 07:02:00,9.41,13.35,34.71,129.086602,110.32,7.87,1.114201135,0,
2024-01-01 07:04:00,9.45,13.19,34.73,94.11375386,75.13,7.84,1.115721643,0,
2024-01-01 07:06:00,9.49,13.03,34.75,135.6820375,116.48,7.80,1.11162008,0,
2024-01-01 07:08:00,9.53,12.87,34.77,130.5482648,111.12,7.76,1.107518518,0,
2024-01-01 07:10:00,9.57,12.71,34.79,104.7120244,85.07,7.73,1.101049768,0,
2024-01-01 07:12:00,9.61,12.55,34.81,112.7028792,92.84,7.69,1.104044566,0,
2024-01-01 07:14:00,9.65,12.39,34.83,128.6926707,108.61,7.65,1.107044566,0,
2024-01-01 07:16:00,9.69,12.23,34.85,124.0089531,103.70,7.62,1.102943004,0,
2024-01-01 07:18:00,9.73,12.07,34.87,140.4558744,119.93,7.58,1.091739481,0,
2024-01-01 07:20:00,9.77,11.91,34.89,150.1019916,129.36,7.54,1.094738037,0,
2024-01-01 07:22:00,9.81,11.75,34.91,133.8625617,112.90,7.51,1.097183227,0,
2024-01-01 07:24:00,9.85,11.59,34.93,115.780945,94.59,7.47,1.097224243,0,
2024-01-01 07:26:00,9.89,11.43,34.95,144.5178755,123.11,7.43,1.096673461,0,
2024-01-01 07:28:00,9.93,11.27,34.97,153.7759124,132.15,7.40,1.092571899,0,
2024-01-01 07:30:00,9.97,11.11,34.99,129.6496499,107.80,7.36,1.095570454,0,
2024-01-01 07:32:00,10.01,10.95,35.01,140.9488235,118.88,7.32,1.098570454,0,
2024-01-01 07:34:00,10.05,10.79,35.03,158.3855434,136.10,7.29,1.09861147,0,
2024-01-01 07:36:00,10.09,10.63,35.05,149.4986644,126.99,7.25,1.094509799,0,
2024-01-01 07:38:00,10.13,10.47,35.07,143.044524,120.32,7.21,1.097509401,0,
2024-01-01 07:40:00,10.17,10.31,35.09,141.369959,118.42,7.18,1.100315218,0,
2024-01-01 07:42:00,10.21,10.15,35.11,115.0286219,91.86,7.14,1.102205599,0,
2024-01-01 07:44:00,10.25,9.99,35.13,108.5651342,85.18,7.10,1.103726107,0,
2024-01-01 07:46:00,10.29,9.83,35.15,140.2426056,116.64,7.07,1.103175326,0,
2024-01-01 07:48:00,10.33,9.67,35.17,145.7579762,121.93,7.03,1.106174928,0,
2024-01-01 07:50:00,10.37,9.51,35.19,119.4781941,95.43,6.99,1.109174928,0,
2024-01-01 07:52:00,10.41,9.35,35.21,129.7419002,105.48,6.96,1.111065309,0,
2024-01-01 07:54:00,10.45,9.19,35.23,143.6498206,119.16,6.92,1.111106295,0,
2024-01-01 07:56:00,10.49,9.03,35.25,134.3526899,109.65,6.88,1.114106187,0,
2024-01-01 07:58:00,10.53,8.87,35.27,133.1475707,108.22,6.85,1.117041459,0,
2024-01-01 08:00:00,10.57,8.71,35.29,141.8514182,116.70,6.81,1.119653092,0,
2024-01-01 08:02:00,10.61,8.55,35.31,120.5279639,95.16,6.77,1.119731095,0,
2024-01-01 08:04:00,10.65,8.39,35.33,104.2877888,78.70,6.74,1.121251603,0,
2024-01-01 08:06:00,10.69,8.23,35.35,131.6441289,105.84,6.70,1.124251495,0,
2024-01-01 08:08:00,10.73,8.07,35.37,137.5481664,111.52,6.66,1.127251495,0,
2024-01-01 08:10:00,10.77,7.91,35.39,108.0619067,81.82,6.63,1.129863128,0,
2024-01-01 08:12:00,10.81,7.75,35.41,121.5525171,95.09,6.59,1.131753501,0,
2024-01-01 08:14:00,10.85,7.59,35.43,135.6164668,108.93,6.55,1.134753472,0,
2024-01-01 08:16:00,10.89,7.43,35.45,123.2320733,96.33,6.52,1.137732666,0,
2024-01-01 08:18:00,10.93,7.27,35.47,121.9096881,94.78,6.48,1.140603211,0,
2024-01-01 08:20:00,10.97,7.11,35.49,132.0988958,104.75,6.44,1.14104184,0,
2024-01-01 08:22:00,11.01,6.95,35.51,110.0960315,82.53,6.41,1.136385468,0,
2024-01-01 08:24:00,11.05,6.79,35.53,130.8690289,103.08,6.37,1.139385439,0,
2024-01-01 08:26:00,11.09,6.63,35.55,136.3746847,108.37,6.33,1.142385439,0,
2024-01-01 08:28:00,11.13,6.47,35.57,139.0492956,110.82,6.30,1.145255983,0,
2024-01-01 08:30:00,11.17,6.31,35.59,127.3355674,98.89,6.26,1.147867614,0,
2024-01-01 08:32:00,11.21,6.15,35.61,128.5344225,99.87,6.22,1.143766044,0,
2024-01-01 08:34:00,11.25,5.99,35.63,157.1367798,128.25,6.19,1.146759542,0,
2024-01-01 08:36:00,11.29,5.83,35.65,138.1326217,109.03,6.15,1.149717931,0,
2024-01-01 08:38:00,11.33,5.67,35.67,145.0594348,115.73,6.11,1.151173711,0,
2024-01-01 08:40:00,11.37,5.51,35.69,159.2208405,129.67,6.08,1.146877966,0,
2024-01-01 08:42:00,11.41,5.35,35.71,130.2864331,100.52,6.04,1.142776395,0,
2024-01-01 08:44:00,11.45,5.19,35.73,130.2178345,100.23,6.00,1.145776395,0,
2024-01-01 08:46:00,11.49,5.03,35.75,121.9460954,91.74,5.97,1.148734784,0,
2024-01-01 08:48:00,11.53,4.87,35.77,115.2638086,84.84,5.93,1.151605328,0,
2024-01-01 08:50:00,11.57,4.71,35.79,129.6384964,98.99,5.89,1.147503764,0,
2024-01-01 08:52:00,11.61,4.55,35.81,164.4870096,133.62,5.86,1.136298652,0,
2024-01-01 08:54:00,11.65,4.39,35.83,159.6096966,128.52,5.82,1.139285649,0,
2024-01-01 08:56:00,11.69,4.23,35.85,143.6084848,112.30,5.78,1.141525097,0,
2024-01-01 08:58:00,11.73,4.07,35.87,166.1118234,134.59,5.75,1.140021893,0,
2024-01-01 09:00:00,11.77,3.91,35.89,171.4869534,139.74,5.71,1.135920328,0,
2024-01-01 09:02:00,11.81,3.75,35.91,155.0916211,123.13,5.67,1.129451578,0,
2024-01-01 09:04:00,11.85,3.59,35.93,155.5094329,123.32,5.64,1.132438575,0,
2024-01-01 09:06:00,11.89,3.43,35.95,166.5369608,134.13,5.60,1.135396964,0,
2024-01-01 09:08:00,11.93,3.27,35.97,165.7622575,133.14,5.56,1.133958487,0,
2024-01-01 09:10:00,11.97,3.11,35.99,153.3770907,120.53,5.53,1.122754766,0,
2024-01-01 09:12:00,12.01,2.91,17.00,156.1734984,142.07,6.80,1.11864923,0,
2024-01-01 09:14:00,12.05,2.71,16.00,133.0174301,119.68,6.80,1.12131909,0,
2024-01-01 09:16:00,12.09,2.51,17.00,106.9543517,92.37,6.80,1.122079046,0,
2024-01-01 09:18:00,12.13,2.31,19.00,142.3594468,125.54,6.80,1.120640569,0,
2024-01-01 09:20:00,12.17,2.11,20.00,147.6139932,129.55,6.80,1.114171819,0,
2024-01-01 09:22:00,12.21,1.91,21.00,127.2898387,107.99,6.80,1.110066283,0,
2024-01-01 09:24:00,12.25,1.71,36.13,131.3712879,96.70,5.22,1.11305328,0,
2024-01-01 09:26:00,12.29,1.51,36.15,145.7473417,110.82,5.18,1.113834041,0,
2024-01-01 09:28:00,12.33,1.31,36.17,143.5506567,108.36,5.14,1.107956912,0,
2024-01-01 09:30:00,12.37,1.11,36.19,128.6341808,93.19,5.09,1.103854158,0,
2024-01-01 09:32:00,12.41,2.36,36.21,146.2657079,112.01,5.29,1.104355528,0,
2024-01-01 09:34:00,12.45,2.16,36.23,139.0703882,104.55,5.25,1.10637811,0,
2024-01-01 09:36:00,12.49,1.96,36.25,114.9015534,80.13,5.20,1.107158871,0,
2024-01-01 09:38:00,12.53,1.76,36.27,137.7166375,102.68,5.16,1.104240902,0,
2024-01-01 09:40:00,12.57,1.56,36.29,138.5187645,103.22,5.12,1.100138148,0,
2024-01-01 09:42:00,12.61,1.36,36.31,117.5021557,81.95,5.07,1.103134175,0,
2024-01-01 09:44:00,12.65,1.89,36.33,118.082711,82.99,5.15,1.105163258,0,
2024-01-01 09:46:00,12.69,2.41,36.35,133.2651053,98.64,5.23,1.10372473,0,
2024-01-01 09:48:00,12.73,2.21,36.37,128.9386725,94.05,5.19,1.102285901,0,
2024-01-01 09:50:00,12.77,2.01,36.39,112.7483561,77.60,5.14,1.102869572,0,
2024-01-01 09:52:00,12.81,1.81,36.41,132.0873545,96.68,5.10,1.105479219,0,
2024-01-01 09:54:00,12.85,1.61,36.43,126.4766915,90.81,5.06,1.106916505,0,
2024-01-01 09:56:00,12.89,1.77,36.45,117.2564336,81.69,5.07,1.10695752,0,
2024-01-01 09:58:00,12.93,2.30,36.47,131.9355389,96.84,5.15,1.105518692,0,
2024-01-01 10:00:00,12.97,2.46,36.49,136.0732014,101.08,5.17,1.1085175,0,
2024-01-01 10:02:00,13.01,2.26,36.51,124.039875,88.78,5.12,1.111129133,0,
2024-01-01 10:04:00,13.05,2.06,36.53,121.6790586,86.16,5.08,1.112187285,0,
2024-01-01 10:06:00,13.09,1.86,36.55,142.1185225,106.34,5.04,1.112967944,0,
2024-01-01 10:08:00,13.13,1.84,36.57,136.2978028,100.44,5.02,1.114470938,0,
